username,repositorio,hash,linguagem_programacao,Classificacao
autor nulo,https://github.com/torvalds/linux,ad3e14d7c5268c2e24477c6ef54bbdf88add5d36,C,NÃO FAMILIAR
autor nulo,https://github.com/torvalds/linux,51217e69697fba92a06e07e16f55c9a52d8e8945,C,NÃO FAMILIAR
autor nulo,https://github.com/torvalds/linux,6817ae225cd650fb1c3295d769298c38b1eba818,C,NÃO FAMILIAR
autor nulo,https://github.com/torvalds/linux,844817e47eef14141cf59b8d5ac08dd11c0a9189,C,NÃO FAMILIAR
autor nulo,https://github.com/torvalds/linux,dab6cf55f81a6e16b8147aed9a843e1691dcd318,C,NÃO FAMILIAR
autor nulo,https://github.com/torvalds/linux,2febc839133280d5a5e8e1179c94ea674489dae2,C,NÃO FAMILIAR
autor nulo,https://github.com/opencart-ce/opencart-ce,c2aafc823bd85876f5e888f8ebc421069a5e076f,PHP,NÃO FAMILIAR
autor nulo,https://github.com/torvalds/linux,137f7df8cead00688524c82360930845396b8a21,C,NÃO FAMILIAR
autor nulo,https://github.com/krb5/krb5,f18ddf5d82de0ab7591a36e465bc24225776940f,C,NÃO FAMILIAR
autor nulo,https://github.com/torvalds/linux,d3217b15a19a4779c39b212358a5c71d725822ee,C,NÃO FAMILIAR
autor nulo,https://github.com/e107inc/e107,f80e417bb3e7ab5c1a89ea9ddd2cd060f54464e1,PHP,NÃO FAMILIAR
autor nulo,https://github.com/lingej/pnp4nagios,cb925073edeeb97eb4ce61a86cdafccc9b87f9bb,PHP,NÃO FAMILIAR
autor nulo,https://github.com/lingej/pnp4nagios,e4a19768a5c5e5b1276caf3dd5bb721a540ec014,PHP,NÃO FAMILIAR
autor nulo,https://github.com/pderksen/WP-Google-Calendar-Events,a701ceeb410bdda9d96c9d3d12104630df5d5b43,PHP,NÃO FAMILIAR
autor nulo,https://github.com/torvalds/linux,c88547a8119e3b581318ab65e9b72f27f23e641d,C,NÃO FAMILIAR
autor nulo,https://github.com/torvalds/linux,8d0207652cbe27d1f962050737848e5ad4671958,C,NÃO FAMILIAR
autor nulo,https://github.com/torvalds/linux,db29a9508a9246e77087c5531e45b2c88ec6988b,C,NÃO FAMILIAR
autor nulo,https://github.com/torvalds/linux,eee5cc2702929fd41cce28058dc6d6717f723f87,C,NÃO FAMILIAR
autor nulo,https://github.com/openssl/openssl,470990fee0182566d439ef7e82d1abf18b7085d7,C,NÃO FAMILIAR
autor nulo,https://github.com/LaboCNIL/CookieViz,489b6050f6c53fe7b24c4bed3eeb9c25543960e2,PHP,NÃO FAMILIAR
autor nulo,https://github.com/torvalds/linux,3d32e4dbe71374a6780eaf51d719d76f9a9bf22f,C,NÃO FAMILIAR
autor nulo,https://github.com/torvalds/linux,f2e323ec96077642d397bb1c355def536d489d16,C,NÃO FAMILIAR
autor nulo,https://github.com/axkibe/lsyncd,e6016b3748370878778b8f0b568d5281cc248aa4,Lua,NÃO FAMILIAR
autor nulo,https://github.com/vrtadmin/clamav-devel,fc3794a54d2affe5770c1f876484a871c783e91e,C,NÃO FAMILIAR
autor nulo,https://github.com/Pligg/pligg-cms,4891c4d8742b9dabd67e7250840e3434865aebed,PHP,NÃO FAMILIAR
autor nulo,https://github.com/Pligg/pligg-cms,efb967b944375cd3ea3cd84c80d86d339dbe030e,PHP,NÃO FAMILIAR
autor nulo,https://github.com/forkcms/forkcms,4a7814762adf4f56f932d95146c7e4126d872114,PHP,NÃO FAMILIAR
autor nulo,https://github.com/videolan/vlc,fbe2837bc80f155c001781041a54c58b5524fc14,C,NÃO FAMILIAR
autor nulo,https://github.com/videolan/vlc,2e7c7091a61aa5d07e7997b393d821e91f593c39,C,NÃO FAMILIAR
autor nulo,https://github.com/videolan/vlc,9bb0353a5c63a7f8c6fc853faa3df4b4df1f5eb5,C,NÃO FAMILIAR
autor nulo,https://github.com/videolan/vlc,204291467724867b79735c0ee3aeb0dbc2200f97,C,NÃO FAMILIAR
autor nulo,https://github.com/gosa-project/gosa-core,e35b990464a2c2cf64d6833a217ed944876e7732,PHP,NÃO FAMILIAR
autor nulo,https://github.com/torvalds/linux,0ea1ec713f04bdfac343c9702b21cd3a7c711826,C,NÃO FAMILIAR
autor nulo,https://github.com/torvalds/linux,c88e739b1fad662240e99ecbd0bdaac871717987,C,NÃO FAMILIAR
autor nulo,https://github.com/torvalds/linux,6217e5ede23285ddfee10d2e4ba0cc2d4c046205,C,NÃO FAMILIAR
autor nulo,https://github.com/perl5-dbi/DBD-mysql,a56ae87a4c1c1fead7d09c3653905841ccccf1cc,C,NÃO FAMILIAR
autor nulo,https://github.com/torvalds/linux,9709674e68646cee5a24e3000b3558d25412203a,C,NÃO FAMILIAR
autor nulo,https://github.com/torvalds/linux,69c433ed2ecd2d3264efd7afec4439524b319121,C,NÃO FAMILIAR
autor nulo,https://github.com/torvalds/linux,8275cdd0e7ac550dcce2b3ef6d2fb3b808c1ae59,C,NÃO FAMILIAR
autor nulo,https://github.com/torvalds/linux,0f2af21aae11972fa924374ddcf52e88347cf5a8,C,NÃO FAMILIAR
autor nulo,https://github.com/torvalds/linux,ca4da5dd1f99fe9c59f1709fb43e818b18ad20e0,C,NÃO FAMILIAR
autor nulo,https://github.com/lxc/lxc,5c3fcae78b63ac9dd56e36075903921bd9461f9e,C,NÃO FAMILIAR
autor nulo,https://github.com/lxc/lxd,19c6961cc1012c8a529f20807328a9357f5034f4,Go,NÃO FAMILIAR
autor nulo,https://github.com/osTicket/osTicket-1.8,b38b3ca7235002137cc9ff74b3c24a4a78c9c2d1,PHP,NÃO FAMILIAR
autor nulo,https://github.com/torvalds/linux,4e7c22d447bb6d7e37bfe39ff658486ae78e8d77,C,NÃO FAMILIAR
autor nulo,https://github.com/openssl/openssl,4924b37ee01f71ae19c94a8934b80eeb2f677932,C++,NÃO FAMILIAR
autor nulo,https://github.com/torvalds/linux,637b58c2887e5e57850865839cc75f59184b23d1,C,NÃO FAMILIAR
autor nulo,https://github.com/torvalds/linux,f0d1bec9d58d4c038d0ac958c9af82be6eb18045,C,NÃO FAMILIAR
autor nulo,https://github.com/torvalds/linux,f84598bd7c851f8b0bf8cd0d7c3be0d73c432ff4,C,NÃO FAMILIAR
autor nulo,https://github.com/torvalds/linux,06c8173eb92bbfc03a0fe8bb64315857d0badd06,C,NÃO FAMILIAR
autor nulo,https://github.com/torvalds/linux,4de930efc23b92ddf88ce91c405ee645fe6e27ea,C,NÃO FAMILIAR
autor nulo,https://github.com/sysphonic/thetis,4ca3f5f486759660b87d7c146f1fdc11264f56eb,Ruby,NÃO FAMILIAR
autor nulo,https://github.com/sysphonic/thetis,842e44f0c2bd7d680430bb89a3bb78fd744961f9,Ruby,NÃO FAMILIAR
autor nulo,https://github.com/sysphonic/thetis,a61dc72035c7ae0b06f6d7dc8b2a848ffc7db277,Ruby,NÃO FAMILIAR
autor nulo,https://github.com/sysphonic/thetis,d9ed965075634ca1a095b480b459c68445ce951d,Ruby,NÃO FAMILIAR
autor nulo,https://github.com/abrt/abrt,3746b7627218438ae7d781fc8b18a221454e9091,Python,NÃO FAMILIAR
autor nulo,https://github.com/YanVugenfirer/kvm-guest-drivers-windows,fbfa4d1083ea84c5429992ca3e996d7d4fbc8238,C++,NÃO FAMILIAR
autor nulo,https://github.com/trevp/tlslite,aca8d4f898b436ff6754e1a9ab96cae976c8a853,Python,NÃO FAMILIAR
autor nulo,https://github.com/torvalds/linux,59c816c1f24df0204e01851431d3bab3eb76719c,C,NÃO FAMILIAR
autor nulo,https://github.com/pimcore/pimcore,4f2a95f877d406a054f9f2253475fe58c76aa03d,PHP,NÃO FAMILIAR
autor nulo,https://github.com/pimcore/pimcore,1c6692e8287deed7f3356b6a1e2e9b7fe4e858dd,PHP,NÃO FAMILIAR
autor nulo,https://github.com/torvalds/linux,3f7352bf21f8fd7ba3e2fcef9488756f188e12be,C,NÃO FAMILIAR
autor nulo,https://github.com/abrt/abrt,3c1b60cfa62d39e5fff5a53a5bc53dae189e740e,C,NÃO FAMILIAR
autor nulo,https://github.com/abrt/libreport,257578a23d1537a2d235aaa2b1488ee4f818e360,C,NÃO FAMILIAR
autor nulo,https://github.com/torvalds/linux,beb39db59d14990e401e235faf66a6b9b31240b0,C,NÃO FAMILIAR
autor nulo,https://github.com/bittorrent/bootstrap-dht,e809ea80e3527e32c40756eddd8b2ae44bc3af1a,C++,NÃO FAMILIAR
autor nulo,https://github.com/torvalds/linux,f15133df088ecadd141ea1907f2c96df67c729f0,C,NÃO FAMILIAR
autor nulo,https://github.com/torvalds/linux,451a2886b6bf90e2fb378f7c46c655450fb96e81,C,NÃO FAMILIAR
autor nulo,https://github.com/torvalds/linux,fdc81f45e9f57858da6351836507fbcf1b7583ee,C,NÃO FAMILIAR
autor nulo,https://github.com/bcit-ci/CodeIgniter,0dde92def6b9f276f05ff77abb07ead318f9ec23,PHP,NÃO FAMILIAR
