username,repositorio,hash,linguagem_programacao,LinhasTotais,LinhasAdicionadas,LinhasRemovidas
torvalds,https://github.com/torvalds/linux,8141c7f3e7aee618312fa1c15109e1219de784a7,C,20.0,11.0,9.0
bagder,https://github.com/bagder/curl,75ca568fa1c19de4c5358fed246686de8467c238,C,93.0,62.0,31.0
xiw,https://github.com/torvalds/linux,093019cf1b18dd31b2c3b77acce4e000e2cbc9ce,C,2.0,1.0,1.0
autor nulo,https://github.com/torvalds/linux,fa8b18edd752a8b4e9d1ee2cd615b82c93cf8bba,C,2.0,2.0,0.0
xiw,https://github.com/torvalds/linux,a5cd335165e31db9dbab636fd29895d41da55dd2,C,6.0,6.0,0.0
bwhacks,https://github.com/torvalds/linux,a8c1f65c79cbbb2f7da782d4c9d15639a9b94b27,C,2.0,2.0,0.0
autor nulo,https://github.com/torvalds/linux,61cc74fbb87af6aa551a06a370590c9bc07e29d9,C,2.0,1.0,1.0
autor nulo,https://github.com/torvalds/linux,b69f2292063d2caf37ca9aec7d63ded203701bf3,C,20.0,11.0,9.0
kees,https://github.com/torvalds/linux,2702b1526c7278c4d65d78de209a465d4de2885e,C,12.0,7.0,5.0
autor nulo,https://github.com/krb5/krb5,c5be6209311d4a8f10fda37d0d3f876c1b33b77b,C,2.0,1.0,1.0
autor nulo,https://github.com/torvalds/linux,c8e252586f8d5de906385d8cf6385fee289a825e,C,8.0,7.0,1.0
lalinsky,https://github.com/taglib/taglib,77d61c6eca4d08b9b025738acf6b926cc750db23,C++,2.0,1.0,1.0
franklai,https://github.com/taglib/taglib,b3646a07348ffa276ea41a9dae03ddc63ea6c532,C++,16.0,13.0,3.0
dregad,https://github.com/mantisbt/mantisbt,eb803ed02105fc919cf5f789e939f2b824162927,PHP,8.0,5.0,3.0
dregad,https://github.com/mantisbt/mantisbt,cf5df427f17cf9204645f83e000665780eb9afe6,PHP,17.0,12.0,5.0
dregad,https://github.com/mantisbt/mantisbt,dea7e315f3fc96dfa995e56e8810845fc07a47aa,PHP,5.0,5.0,0.0
dregad,https://github.com/mantisbt/mantisbt,9443258724e84cb388aa1865b775beaecd80596d,PHP,18.0,13.0,5.0
dregad,https://github.com/mantisbt/mantisbt,0da3f7ace233208eb3c8d628cc2fd6e56d83839f,PHP,4.0,2.0,2.0
autor nulo,https://github.com/mantisbt/mantisbt,f5106be52cf6aa72c521f388e4abb5f0de1f1d7f,PHP,5.0,5.0,0.0
autor nulo,https://github.com/torvalds/linux,371528caec553785c37f73fa3926ea0de84f986f,C,5.0,4.0,1.0
matthiasmullie,https://github.com/forkcms/forkcms,1269fe8b3813c7b7d5552a2b88bc2e7bd4d0c1f9,PHP,2.0,1.0,1.0
matthiasmullie,https://github.com/forkcms/forkcms,995220182068518e89019a265d113518f6566407,PHP,2.0,1.0,1.0
nijel,https://github.com/phpmyadmin/phpmyadmin,86073d532aed656550cb731aa5b4288b126ae7a6,JavaScript,10.0,5.0,5.0
freshface,https://github.com/forkcms/forkcms,a9986b86c53de0582248b39605660fbba0c21a29,PHP,11.0,11.0,0.0
autor nulo,https://github.com/forkcms/forkcms,8fa74dd3e2e32723cd121177dce6aeac37e29df6,PHP,2.0,1.0,1.0
autor nulo,https://github.com/forkcms/forkcms,d65c083adc91c88d21bd9a0df4c2688df634c6ff,PHP,2.0,1.0,1.0
freshface,https://github.com/forkcms/forkcms,df75e0797a6540c4d656969a2e7df7689603b2cf,PHP,7.0,4.0,3.0
autor nulo,https://github.com/forkcms/forkcms,c8ec9c58a6b3c46cdd924532c1de99bcda6072ed,PHP,5.0,4.0,1.0
hregis,https://github.com/Dolibarr/dolibarr,5381986e50dd6055f2b3b63281eaacffa0449da2,PHP,122.0,63.0,59.0
hregis,https://github.com/Dolibarr/dolibarr,8f9b9987ffb42cfbe907fe31ded3001bfc1b3417,PHP,136.0,70.0,66.0
zoulasc,https://github.com/glensc/file,1859fdb4e67c49c463c4e0078054335cd46ba295,C,21.0,15.0,6.0
zoulasc,https://github.com/glensc/file,1aec04dbf8a24b8a6ba64c4f74efa0628e36db0b,C,21.0,11.0,10.0
SesterhennEric,https://github.com/torvalds/linux,d0772b70faaf8e9f2013b6c4273d94d5eac8047a,C,2.0,1.0,1.0
lalinsky,https://github.com/taglib/taglib,dcdf4fd954e3213c355746fa15b7480461972308,C++,2.0,1.0,1.0
andrerom,https://github.com/ezsystems/ezjscore,58854564c7b8672090c25c4b1677d08620d870f2,PHP,2.0,1.0,1.0
ioguix,https://github.com/phppgadmin/phppgadmin,74174ad639664b52cc1609ede0af8bc403e98a00,PHP,2.0,0.0,2.0
juanramon,https://github.com/osclass/OSClass,1e7626f4e1a26371480989c0b937f107ea9a6d4b,PHP,10.0,10.0,0.0
juanramon,https://github.com/osclass/OSClass,a40b76695994442644e46e1b776d79660500566a,PHP,296.0,142.0,154.0
sipa,https://github.com/sipa/bitcoin,a206b0ea12eb4606b93323268fc81a4f1f952531,C++,26.0,24.0,2.0
autor nulo,https://github.com/bitcoin/bitcoin,8864019f6d88b13d3442843d9e6ebeb8dd938831,Shell,5.0,3.0,2.0
xiw,https://github.com/torvalds/linux,d50f2ab6f050311dbf7b8f5501b25f0bf64a439b,C,7.0,3.0,4.0
dprince,https://github.com/openstack/nova,1f644d210557b1254f7c7b39424b09a45329ade7,Python,248.0,238.0,10.0
jasowang,https://github.com/torvalds/linux,b92946e2919134ebe2a4083e4302236295ea2a73,C,25.0,21.0,4.0
eparis,https://github.com/torvalds/linux,d52fc5dde171f030170a6cb78034d166b13c9445,C,5.0,5.0,0.0
autor nulo,https://github.com/torvalds/linux,905ad269c55fc62bee3da29f7b1d1efeba8aa1e1,C,8.0,3.0,5.0
splitbrain,https://github.com/splitbrain/dokuwiki,ff71173477e54774b5571015d49d944f51cb8a26,PHP,2.0,1.0,1.0
dgibson,https://github.com/torvalds/linux,90481622d75715bfcb68501280a917dbfe516029,C,203.0,139.0,64.0
jasowang,https://github.com/torvalds/linux,cc9b17ad29ecaa20bfe426a8d4dbfb94b13ff1cc,C,7.0,5.0,2.0
autor nulo,https://github.com/mikel/mail,29aca25218e4c82991400eb9b0c933626aefc98f,Ruby,19.0,17.0,2.0
autor nulo,https://github.com/mikel/mail,39b590ddb08f90ddbe445837359a2c8843e533d0,Ruby,6.0,3.0,3.0
autor nulo,https://github.com/openstack/horizon,041b1c44c7d6cf5429505067c32f8f35166a8bab,Python,79.0,75.0,4.0
jeffmahoney,https://github.com/torvalds/linux,1bb57e940e1958e40d51f2078f50c3a96a9b2d75,C,59.0,9.0,50.0
gregkh,https://github.com/torvalds/linux,6f24f892871acc47b40dd594c63606a17c714f77,C,15.0,15.0,0.0
aagit,https://github.com/torvalds/linux,26c191788f18129af0eb32a358cdaea0c7479626,C,72.0,70.0,2.0
spuiuk,https://github.com/torvalds/linux,20e0fa98b751facf9a1101edaefbc19c82616a68,C,2.0,1.0,1.0
xiw,https://github.com/torvalds/linux,ed8cd3b2cd61004cab85380c52b1817aca1ca49b,C,3.0,2.0,1.0
xiw,https://github.com/torvalds/linux,44afb3a04391a74309d16180d1e4f8386fdfa745,C,5.0,5.0,0.0
keithw,https://github.com/keithw/mosh,9791768705528e911bfca6c4d8aa88139035060e,C++,8.0,8.0,0.0
autor nulo,https://github.com/torvalds/linux,c50ac050811d6485616a193eb0f37bfbd191cc89,C,28.0,22.0,6.0
autor nulo,https://github.com/Legrandin/pycrypto,9f912f13df99ad3421eff360d6a62d7dbec755c2,Python,64.0,40.0,24.0
vishvananda,https://github.com/openstack/nova,ff06c7c885dc94ed7c828e8cdbb8b5d850a7e654,Python,8.0,4.0,4.0
olafhering,https://github.com/torvalds/linux,bcc2c9c3fff859e0eb019fe6fec26f9b8eba795c,C,10.0,7.0,3.0
ivmai,https://github.com/ivmai/bdwgc,6a93f8e5bcad22137f41b6c60a1c7384baaec2b3,C,10.0,7.0,3.0
autor nulo,https://github.com/ivmai/bdwgc,83231d0ab5ed60015797c3d1ad9056295ac3b2bb,C,5.0,4.0,1.0
xiw,https://github.com/ivmai/bdwgc,be9df82919960214ee4b9d3313523bff44fd99e1,C,4.0,4.0,0.0
xiw,https://github.com/ivmai/bdwgc,e10c1eb9908c2774c16b3148b30d2f3823d66a9a,C,5.0,5.0,0.0
xiw,https://github.com/android/platform_bionic,7f5aa4f35e23fd37425b3a5041737cdf58f87385,C,37.0,25.0,12.0
xiw,https://github.com/ned14/nedmalloc,1a759756639ab7543b650a10c2d77a0ffc7a2000,C,6.0,5.0,1.0
